,img_id,img_width,img_height
0,00e24ea4-9cee-41c3-b88e-a0826048ffdb,1200,900
1,038181ac-3e0b-4bc3-904d-dd55f487ae9c,1200,900
2,0ae1863c-5439-462a-8870-f8fbe17bab41,1200,900
3,0f06b32c-1962-43f9-a30f-185eecea369c,1200,900
4,113b378a-797f-409a-8675-c8a5374c704f,1600,800
5,1397c84c-b025-4016-ad59-a816ffe37989,1600,800
6,15ff3162-1d47-405b-83e8-13c215836147,1200,900
7,19718507-4c8a-45dc-82e1-bca4dc852b39,1200,900
8,1b32f7a6-bc7a-43e8-9424-d865e32ee3af,1200,900
9,1f2e7bef-ff57-46a2-9e96-891c22ae5b6f,1600,800
10,221e32cf-22fa-4f23-ae01-ec33b121e953,512,512
11,23d3811a-7809-4bed-9ab9-6e1f8b3f3fc2,1200,900
12,241d38a4-4685-4800-804b-207a8893fe30,1200,900
13,2823f33d-4c26-48f5-9172-9d3f1a018163,1200,900
14,2bb37d21-d4ff-4f12-9db9-bb17cd256251,1200,900
15,2f850d74-0f95-4668-b673-518ef8085930,512,512
16,2fd2b965-1e0e-4767-904f-b6d5a0888e76,1600,800
17,30fe3493-0003-4009-92cf-b9d9ee8bfdfd,1200,900
18,33bbf037-e175-4e11-af9e-d3f46f8e2a8e,1200,900
19,3859671f-9e92-42ea-b760-0432bd962cb3,1200,900
20,3a62f966-04f3-4f2b-8d2a-6466999fe692,1200,900
21,40677b2d-a979-4dc1-b769-39146150c258,1200,900
22,40f164ea-90a5-4b56-9be6-9f9f0be760ab,1200,900
23,48a3310c-45b5-41cc-af49-c20feb86a5fd,1200,900
24,4e106b36-6b7b-48f0-8916-b915b36e99de,1600,800
25,4e7fdd41-26bb-4b13-bcd7-7d5ef89a66d7,512,512
26,4ffda392-4267-4b8d-b367-49a60911993b,1200,900
27,511333fa-a51e-4ab7-bd9b-0368c3f8c351,1600,800
28,51367c0f-4f16-41b7-a2b8-a349f7d3d8ee,1200,900
29,522c5b09-c813-4a69-9dfa-a9a512dae12e,1200,900
30,53097380-36d1-435b-819f-74f8043eb6a0,1200,900
31,5326573f-36a5-4154-ab0c-354a437a26ab,1200,900
32,532a0a25-2ef0-4383-87e9-aedcae3c81c8,1200,900
33,54166647-f7e7-4c4f-aa0c-f8b875ff2e29,1200,900
34,58254ee0-682f-4db4-9270-8c2e4ac1d168,1200,900
35,5c3bf6ba-2cc1-4eb9-8509-82f3e8891a55,1200,900
36,5d83b4a9-49f8-4610-9b23-2d12eeb53092,1200,900
37,66aa2bef-f2da-4a2b-83fc-754a80c34792,1200,900
38,68bb946f-fa42-4937-a9a9-ea31ded4ce1d,1200,900
39,696fd580-18c2-4d98-b749-683b2b4ff2a8,1200,900
40,72e0a6c9-4e56-4804-a12a-526fa342fa37,512,512
41,75ea8013-2aa0-4159-b37e-611533a161f9,1200,900
42,798f5ac0-6599-435e-ae40-e6b6eb9b5f1d,1200,900
43,818f9012-d9bc-42d5-8730-b38e37b77144,1600,800
44,82e2f54c-2fe1-419d-b5fb-98c5cd0b341b,1200,900
45,859b763f-4954-44e6-af2d-9b450cd20894,1200,900
46,8b6ad89b-6f40-4820-81f4-dcd094825227,1200,900
47,8db2dfa6-f49c-415c-b7ac-0ead48cc7c03,1200,900
48,90e604c2-63bc-4d68-b600-527076e73932,1200,900
49,93076d2b-22eb-47cf-af94-569dbed7974c,1200,900
50,93b77b63-1d37-4ecf-82af-cec7a65240c0,1200,900
51,93d3c585-deea-4b4e-8f00-925a5ec57d96,1200,900
52,95b54dae-b8c5-4bef-88ea-0b1ae40c00af,1200,900
53,97f2acf7-cbcd-4e9c-a892-e884e12b6089,1200,900
54,985f6093-0f69-441f-9d31-b952ce7a2f59,1200,900
55,99aa63c9-eaa6-44b5-83a7-6ad3ec7e58f4,1200,900
56,9bba2ae6-8101-423d-bc1c-6698e248f510,1200,900
57,a0ac6849-6bdc-41aa-ad88-6e7a64cfb0d8,1200,900
58,a3dad231-b9b1-4232-846d-cc80f6dcd9a1,1200,900
59,a8374394-945e-4682-91e2-087aa3058042,1200,900
60,ac26f5e8-16ac-4180-a1fc-ba8db76651d2,1600,800
61,b0a6e0b1-f448-4d8c-aa26-020c3cb19e41,1200,900
62,b0b37b14-8be3-4bcc-aa83-c79c74472717,1200,900
63,b1189a13-4384-4b38-a982-66f768a7a321,1200,900
64,b2ff2900-9323-4d37-a67e-ef08d0bcc9b6,1200,900
65,b3b6222c-ca7c-4d88-a0f3-3bee207365ad,1200,900
66,b5d69014-ca37-42ce-b506-ad293ccf4868,1600,800
67,b71b4737-e4d8-425d-96bb-2202c965ba48,1200,900
68,b770dc24-4188-4eb5-9dda-a96df4ff1d3c,1200,900
69,b8f10088-0125-474a-b21b-afa8d1742d1e,512,512
70,bed0a8b9-3611-4798-94e1-a59d82a0d29b,1200,900
71,c28e35b4-3d88-44bd-a2fa-2e9d75af030f,1600,800
72,c2cd5ea9-9ac7-479b-9612-fa92a5544a8f,1200,900
73,c4af858e-a58d-4fbb-8fe2-cdc90af2a6df,1200,900
74,c6f097c8-6f6a-4c7a-ad9b-3f9ee76503c7,1200,900
75,c74d0ade-050e-4858-b7d7-d3bede7033ef,1200,900
76,c8bdb9f8-77c1-49aa-8c56-ac518d10935f,1200,900
77,ca48cb08-bef7-430b-8d26-b081f0c10dad,1200,900
78,cb7367ad-cf5a-4793-8cb1-998731eccd46,1200,900
79,cf42671b-6cb6-4e66-a94b-39746df480cd,1600,800
80,cf9fb8ad-f8d3-454e-91ff-b8e3020746e2,1200,900
81,d037069a-6c25-4dbd-8f26-0029e0329bf6,1200,900
82,d4474642-d181-4a61-a449-1595c8412fcd,1600,800
83,d6d6de89-1fa1-4a0d-87d8-692d6a3a3b54,1200,900
84,d72b4ee4-2589-4f92-b0a0-6c9b81d32c49,1200,900
85,d871ff7c-f289-47bc-be66-2b8543db8e97,1200,900
86,dd32de31-a1fd-4fc6-9031-ae0a1402db61,1200,900
87,df97f412-89ea-480d-870e-f431b6bcbd79,1200,900
88,e25ee9f9-0c5c-4271-bc50-6fe54597fbf6,1200,900
89,e3471da2-79a5-4dad-adbb-d03631ae153a,1200,900
90,e40d908d-dc9e-4d3b-b7ff-3be1eaa9b951,1200,900
91,e69d1988-3795-4986-bc93-0092ccc16211,1200,900
92,e7c61a9c-8f54-4393-9c91-f8ad1802a330,1200,900
93,e9ceb557-5938-4116-9e53-3667c43450ba,1200,900
94,eabcc653-1417-498b-91ad-b540fc270987,512,512
95,ec01941e-de73-4d4e-b6cf-e8ef7e972e59,1200,900
96,ef005212-dc7a-48ea-8885-168e0eea1ab1,1600,800
97,f2e676eb-df6d-4a82-bb78-34926ec1d451,1200,900
98,f5d89163-2d24-4e03-82c9-ed176691b42e,1200,900
99,f6127946-5cf1-46a5-92f2-a6211fe8291d,1200,900
100,f6a5b069-e756-4270-9717-2b83fd20df6f,512,512
